--------- beginning of system
11-09 20:56:08.937  1415  1768 I PackageManager: Integrity check passed for file:///data/app/vmdl18066834.tmp
11-09 20:56:08.945  1415  1684 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
11-09 20:56:08.956  1415  1684 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 20:56:09.074  1415  1672 V StorageManagerService: Package null has legacy storage
11-09 20:56:09.162  1415  5510 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 20:56:09.195  1415  1768 V BackupManagerService: [UserID:0] restoreAtInstall pkg=android.dds.com token=28 restoreSet=0
11-09 20:56:09.196  1415  1768 V BackupManagerService: [UserID:0] Finishing install immediately
11-09 20:56:09.210  1415  1768 D PackageInstallerSession: Marking session 18066834 as applied
11-09 20:56:09.227  1415  1768 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10230; state: DISABLED
11-09 20:56:09.227  1415  1768 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10230; state: DISABLED
11-09 20:56:09.233  1415  1687 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-09 20:56:09.233  1415  1687 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1415, uid=1000) to com.android.buyer/.mRve
11-09 20:56:09.233  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.atvcleaner/.receivers.PkgReceiver
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.impl.PackageMonitorReceiverImpl$RegisteredReceiver
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.backgroundimpl.BackgroundPackageMonitorReceiverImpl$RegisteredReceiver
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
11-09 20:56:09.234  1415  1687 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1415, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
11-09 20:56:09.234  1415  1687 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
11-09 20:56:09.234  1415  1687 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1415, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
11-09 20:56:09.244  1415  1415 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@Avs
11-09 20:56:09.252  1415  1415 V BackupManagerConstants: getFullBackupIntervalMilliseconds(...) returns 86400000
11-09 20:56:09.252  1415  1415 V BackupManagerConstants: getFullBackupRequiredNetworkType(...) returns 2
11-09 20:56:09.252  1415  1415 V BackupManagerConstants: getFullBackupRequireCharging(...) returns true
11-09 20:56:09.267  1415  1764 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~PEXRR-WBjBrj-IYSOWMRbA==/android.dds.com-VshgO6-CHgeP4b6IqunVug==/base.apk
11-09 20:56:09.293  1415  2972 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10230; state: DISABLED
11-09 20:56:09.304  1415  1684 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 20:56:09.337  1415  1974 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10230; state: DISABLED
11-09 20:56:09.344  1415  1415 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@Av4
11-09 20:56:09.344  1415  4155 W BackupTransportManager: Package android.dds.com enabled setting: 0
11-09 20:56:09.352  1415  1768 E PackageManager: ERROR: could not load root hash from incremental install
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #16
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #33
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uwz.ihrork at: Binary XML file line #35
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #36
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uwz.ihrork at: Binary XML file line #37
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.SEND_SMS in package: com.uwz.ihrork at: Binary XML file line #38
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SMS in package: com.uwz.ihrork at: Binary XML file line #39
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_SMS in package: com.uwz.ihrork at: Binary XML file line #40
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SMS in package: com.uwz.ihrork at: Binary XML file line #41
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #42
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #43
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CHANGE_WIFI_STATE in package: com.uwz.ihrork at: Binary XML file line #44
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uwz.ihrork at: Binary XML file line #45
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.MOUNT_UNMOUNT_FILESYSTEMS in package: com.uwz.ihrork at: Binary XML file line #46
11-09 20:56:09.361  1415  2006 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uwz.ihrork at: Binary XML file line #47
