--------- beginning of system
10-22 20:11:59.488  1445  1445 E NotificationService: Muting recently noisy 0|com.antivirus|1000|null|10197
10-22 20:11:59.493  1445  2009 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10227; state: DISABLED
10-22 20:11:59.494  1445  1445 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@CeE
10-22 20:11:59.534  1445  4177 W BackupTransportManager: Package com.keji.danti672 enabled setting: 0
10-22 20:11:59.556  1445  1831 I PackageManager: Integrity check passed for file:///data/app/vmdl2143268307.tmp
10-22 20:11:59.576  1445  1679 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
10-22 20:11:59.584  1445  1679 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
10-22 20:11:59.646  1445  1667 V StorageManagerService: Package null has legacy storage
10-22 20:11:59.654 19058 24671 I PackageParser: com.keji.danti672: compat added android.permission.WRITE_EXTERNAL_STORAGE
10-22 20:11:59.771  1445  1831 V BackupManagerService: [UserID:0] restoreAtInstall pkg=android.dds.com token=3e restoreSet=0
10-22 20:11:59.771  1445  1831 V BackupManagerService: [UserID:0] Finishing install immediately
10-22 20:11:59.772  1445  1831 D PackageInstallerSession: Marking session 2143268307 as applied
10-22 20:11:59.775  1445  1831 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10228; state: DISABLED
10-22 20:11:59.776  1445  1831 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10228; state: DISABLED
10-22 20:11:59.783  1445  1445 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@CeI
10-22 20:11:59.785  1445  5553 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
10-22 20:11:59.785  1445  5553 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1445, uid=1000) to com.android.buyer/.mRve
10-22 20:11:59.786  1445  1679 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.impl.PackageMonitorReceiverImpl$RegisteredReceiver
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.backgroundimpl.BackgroundPackageMonitorReceiverImpl$RegisteredReceiver
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
10-22 20:11:59.791  1445  1445 V BackupManagerConstants: getFullBackupIntervalMilliseconds(...) returns 86400000
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
10-22 20:11:59.791  1445  1445 V BackupManagerConstants: getFullBackupRequiredNetworkType(...) returns 2
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
10-22 20:11:59.791  1445  1680 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1445, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
10-22 20:11:59.791  1445  1680 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
10-22 20:11:59.791  1445  1445 V BackupManagerConstants: getFullBackupRequireCharging(...) returns true
10-22 20:11:59.791  1445  1680 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1445, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
10-22 20:11:59.798 19058 25661 I PackageParser: android.dds.com: compat added android.permission.WRITE_EXTERNAL_STORAGE android.permission.READ_PHONE_STATE
10-22 20:11:59.804  1445  1828 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~--G-TKNw7WTrPX-_lz6hzg==/android.dds.com-JH6ESu1UuI1OLX0_8b9mVg==/base.apk
10-22 20:11:59.815  1445  1679 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
10-22 20:11:59.824  1445  5545 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10228; state: DISABLED
10-22 20:11:59.831  1445  2009 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10228; state: DISABLED
